Institute Code,College Name,Region,Region Type,College Address,Email Address,Website,Registrar Name,Principal Name,Office Phone,Fax No,Status,Autonomy Status,Minority status
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai,Urban,"Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",crce@fragnel.edu.in,www.fragnel.edu.in,Chandrashekhar Shetty,Dr. Srija Unnikrishnan,67114000,67114100,Un-Aided,Non-Autonomous,Religious Minority - Christian
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai,Urban,"Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",vesit@vsnl.com,www.ves.ac.in/vesit,Mrs. Asma Parveen I.Siddavatam,Dr. (Mrs.) J. M. Nair ,61532532,61532555,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi
3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai,Urban,"P.B. No. 15, CIDCO Colony, Plot No. 98, Sector 3,  Airoli, Navi Mumbai ",principaldmce@yahoo.com,www.dmce.ac.in,na,Dr. S. D. Sawarkar,27791662,,Un-Aided,Non-Autonomous,Non-Minority
3188,"Padmabhushan Vasantdada Patil Pratishthans College of Engineering, Sion,Mumbai",Mumbai,Urban,"Padmabhushan Vasantdada Patil Education Complex, Eastern Express Highway, Near Everard Nagar,  Sion-Chunabhatti Mumbai ",principal@pvppcoe.ac.in,www.pvppcoe.ac.in,Mr. Shailesh A. Mokashi,Dr. Alam N. Shaikh,24070547,24038717,Un-Aided,Non-Autonomous,Non-Minority
3189,"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Mumbai,Urban,"Sector - 7,CBD- Belpur, Navi Mumbai 400614 ",principal.bvcoenm@bharatividyapeeth.edu,www.bvcoenm.edu.in,Mr. Santosh Shahaji Pawar,Dr.Sandhya D. Jadhav,27572140,27573196,Un-Aided,Non-Autonomous,Non-Minority
3190,"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,Urban,"Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai ",principal@terna.org,www.ternaengg.ac.in,Kavita S.Kadam,Dr. LAKSHMAPPA RAGHA,61115444,61115400,Un-Aided,Non-Autonomous,Non-Minority
3191,"Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe",Mumbai,Rural,"At Pedhambe, Po. Alore, Tal : Chiplun, Dist. Ratnagiri",rscoedegree@gmail.com,www.mandaredusoc.org,D K Gaikwad,DR. ANEESH GANGAL,230005,229000,Un-Aided,Non-Autonomous,Non-Minority
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai,Urban,"Plot No.1, Sector No. 08, Ghansoli , Navi Mumbai 400 701",contactus@sigce.edu.in,www.sigce.edu.in,Chandrakant Jadhav,Dr. Sunil S. Chavan,27543608,27544626,Un-Aided,Non-Autonomous,Non-Minority
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai,Urban,"Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane ",officessjcoe@gmail.com,www.shivajiraojondhalecoe.org.in, Mr. Shejul F. C.,Dr. Bakal Jagdish Wasudeorao,2872560,2023973,Un-Aided,Non-Autonomous,Non-Minority
3194,"Vidyavardhini's College of Engineering and Technology, Vasai",Mumbai,Urban,"Vasai Road (W Rly), Tal: Vasai, District Palghar ",vcet_inbox@vcet.edu.in,www.vcet.edu.in,Mr. Vishal K. Save,DR HARISH V. VANKUDRE,2338234,2339486,Un-Aided,Non-Autonomous,Non-Minority
3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai,Urban,"Sector - 4, Plot N0 17 & 18, Vikas Nagar, Koparkhairane, Navi Mumbai",principal.ltce@gmail.com,www.ltce.in,Pradeep D. Nangare Patil,Dr. Vivek K. Sunnapawr,27541005,27547793,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai,Urban,"Sector 9-A,  Vashi, Navi Mumbai,",principalfcrit@gmail.com,www.fcrit.ac.in,Neena Biju Nair,Dr. S.M.KHOT,227771000,27660619,Un-Aided,Non-Autonomous,Religious Minority - Christian
3198,"Konkan Gyanpeeth College of Engineering, Karjat",Mumbai,Urban,"Vengaon Road, Dahivali, Karjat",principal@kgce.edu.in,www.kgce.edu.in,A,Dr.Madhukar J.Lengare,222580,222359,Un-Aided,Non-Autonomous,Non-Minority
3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai,Urban,"Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle (West), Mumbai",info@djsce.ac.in,www.djsce.ac.in,Mrs. Shreeya Hadkar,Dr. Hari Vasudevan,26123892,26194988,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi
3200,"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri",Mumbai,Rural,"P- 60, P-60/1, MIDC, Mirjole Block, Ratnagiri",admin@famt.ac.in,www.famt.ac.in,Gajanan D Targaonkar,DR. KAUSHAL PRASAD,229657,228436,Un-Aided,Non-Autonomous,Non-Minority
3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai,Urban,"Rizvi Educational Complex, Off Carter Road, Sherly Rajan Village, Bandra (W), Mumbai ",info@eng.rizvi.edu.in,www.eng.rizvi.edu.in,Mr.Vaquar Shaikh,Dr. Varsha Shah,26043866,26043840,Un-Aided,Non-Autonomous,Religious Minority - Muslim
3202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Mumbai,Rural,"At - Ambav (Devrukh).Tal Sangameshwar,Dist.- Ratnagiri",info@rmcet.com,www.rmcet.com,Padmanabh Shelar,Dr. M. M. Bhagwat,269400,269699,Un-Aided,Non-Autonomous,Non-Minority
3203,"Atharva College of Engineering,Malad(West),Mumbai",Mumbai,Urban,"S. No. 263, Plot No. 8-12, Malad-Marve Rd, Charkop Naka, Malad(W), Mumbai",ace@atharvaeducation.com,www.atharvaeducation.com,ANANDA  KANGANE,Dr. SHRIKANT KALLURKAR,40294949,40294911,Un-Aided,Non-Autonomous,Non-Minority
3204,"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai,Urban,"Mount Poinsur, S.V.P. Road, Borivali ( W ), Mumbai ",sfedu@sfit.ac.in,www.sfit.ac.in,-,Dr.Sincy George,28928585,28954787,Un-Aided,Non-Autonomous,Religious Minority - Christian
3206,"S.S.P.M.'s College of Engineering, Kankavli",Mumbai,Rural," A/P-Harkul Budruk, Tal- Kankavali. Dist-Sindhudurg",sspmcoe@gmail.com,www.sspmcoe.ac.in,Shri Sagar Suresh Saikar,Dr. Aneesh C. Gangal,233812,230214,Un-Aided,Non-Autonomous,Non-Minority
3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai,Urban,"Dr. K.M.Vasudevan Pillais' Campus Plot No. 10, Sector 16, New Panvel, Dist.Raigad",principalpce@mes.ac.in,www.pce.ac.in,P. Kumaran,Dr. Sandeep M. Joshi,27456100,27483208,Un-Aided,Non-Autonomous,Linguistic Minority - Malyalam
3208,"Don Bosco Institute of Technology, Mumbai",Mumbai,Urban,"Premier Automobiles Road,Opp. Fiat Company, Kurla (West), Mumbai ",dbit@dbit.in,www.dbit.in,Mr. Rajendra Tatkare,Dr. Prasanna Nambiar,25042018,25040682,Un-Aided,Non-Autonomous,Religious Minority - Roman Catholics
3209,"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai,Urban,"Somaiya Auryvihar Complex,  Near Everard Nagar Eastern Express Highway, Sion (East), Mumbai",principal.tech@somaiya.edu,www.somaiya.edu/vidyavihar/kjsieit,Ankush Gaikwad,Dr. Suresh K. Ukarande,24080331,24028804,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi
3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Mumbai,Urban,"Mith bunder Road, Near Sadguru Gardens, Kopri, Thane (E)",kcce21@hotmail.com,www.kccoe.org,Mahesh Suresh Dalvi,Dr. VILAS N. NITNAWARE,25327100,,Un-Aided,Non-Autonomous,Linguistic Minority - Punjabi
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai,Urban,"Sri. Chandrsekarendra Saraswathy Vidyapuram, Sector-5, Plot 1C&1E, Nerul Dist. Raigad ",principalgst@sies.edu.in,www.siesgst.edu.in,V.Vijayalakshmi,Dr. Atul Kemkar,61082400,27718779,Un-Aided,Non-Autonomous,Linguistic Minority - Tamil
3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",Mumbai,Urban,"Plot No.157,C.H.M.Campus,Opp.Ullhasnagar Rilway Station,Ulhasnagar-421003(W)",principal@watumull.edu,www.watumull.edu,Mr.Avinash Gondal,DR.SUNITA SHARMA,2567670,,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi
3214,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",Mumbai,Urban,"Opposite S.L.Raheja Hospital, Mahim Causeway, Mahim(W),   Mumbai",office@xavier.ac.in,www.xavier.ac.in,Ereena G. Rodrigues,Dr. Y. D. Venkatesh,24451961,24462267,Un-Aided,Non-Autonomous,Religious Minority - Christian
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",Mumbai,Urban,"Bhavan's Campus, Versova Road, Munshi Nagar, Andheri (West), Mumbai",principal@spit.ac.in,www.spit.ac.in,Mrs. Pallavi More,Dr. B N Chaudhari,26287250,26701422,Un-Aided,Autonomous,Non-Minority
3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Mumbai,Rural,"A & Po. Lavel Tal Khed,  Dist. Ratnagiri",principal@git-india.edu.in,www.git-india.edu.in,Mr. Mangesh S. Gadre,Dr. Pramod Shriniwas Joshi,262798,262980,Un-Aided,Non-Autonomous,Non-Minority
3217,"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Mumbai,Rural,"At Asangaon, Tal Shahapur, Opp Railway station, Dist : Thane",vjtsscoe@rediffmail.com,www.jondhleengg.org,KISHOR JONDHALE,Dr. GEETHA K. JAYARAJ,273999,2481544,Un-Aided,Non-Autonomous,Non-Minority
3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Mumbai,Rural,"St. John Technical Education Complex, Village Vevoor,Manor Road  Palghar (E)",office@sjcem.edu.in,www.sjcet.co.in,MR. SATISH KUMAR TIWARI,Dr. G.V. Mulgund,297275,256834,Un-Aided,Non-Autonomous,Religious Minority - Christian
3219,"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur",Mumbai,Rural,"Sapgaon, Taluka Shahapur  Dist. Thane",registrar@armiet.com,www.armiet.com,Ankit Suresh Sanghavi,Dr. LAVENDRA S BOTHRA,40244310,40244310,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
3220,"Saraswati Education Society, Yadavrao Tasgaonkar College of Engineering and Management, Nasarapur, Chandai, Karjat",Mumbai,Rural,"Chandhai, Neral - Kadav Raod, Post Nasrapur, Taluka Karjat, Dist. Raigad",sesytcem@gmail.com,www.tasgaonkartech.com,vivek dadu sawant,Prof. Raju Sairise,321524,24318823,Un-Aided,Non-Autonomous,Non-Minority
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Mumbai,Rural,"Shirgaon, At. Post Virar, Tal. Vasai. Thane ",principalvit@vivacollege.org,www.viva-technology.org,Mr. Mahendra D. Kajare,Dr. Arun Kumar,7770002544,,Un-Aided,Non-Autonomous,Non-Minority
3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Mumbai,Rural,"At Village Betegaon,Boisar Chillhar Road , Near Union Park,  Boisar(E), Tal: Palghar,",info@theemcoe.org,www.theemcoe.org,SHEETAL PATIL,Dr. Aqueel Ahmed Shah,284909,284910,Un-Aided,Non-Autonomous,Religious Minority - Muslim
3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Mumbai,Urban," Pillai HOCL Educational
Campus, Rasayani, Tal. Khalapur. Dist. Raisad-",pragneshshah@mes.ac.in,www.mes.ac.in,Mr.Shirish Mayekar,Dr. Madhumita Chatterjee,669000,250067,Un-Aided,Non-Autonomous,Linguistic Minority - Malyalam
3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Mumbai,Urban,"Shelu/Damat Village, (Opp. Shelu Rly Station), Tal. Karjat. Dist. Raigad",principalgvaiet@yahoo.com,www.leelaeducationsociety.org,Swapnil Bafana,Dr. Rajendra Prasad,229628,229629,Un-Aided,Non-Autonomous,Non-Minority
3255,"Mandar Education Society's Rajaram Shinde  Institute of Engineering and Technology, Pedhambe",Mumbai,Rural,"Mandar Education Society's, Rajaram Shinde Instt of Engg  Ratnagiri , 415603",mandar.rsiet@gmail.com,www.mandaredusoc.org,Mr. Bhure P. S. ,Mr. NALAWADE R. B.,230003,229000,Un-Aided,Non-Autonomous,Non-Minority
3256,"Bharati Vidyapeeth's Institute of Technology, Navi Mumbai",Mumbai,Urban,"Belpada, C. B. D. SECTOR - 7, OPP. Kharghar Railway Station, Navi Mumbai.",bvitmumai@yahoo.com,www.iotmumbai.bharatividyapeeth.edu,Dilip Ganpat Mahadik,Mr.P.N.Tandon,27572434,27580126,Un-Aided,Non-Autonomous,Non-Minority
3257,"Vidya Prasarak Mandal's Polytechnic, Thane",Mumbai,Urban,"Chendani, Bunder Road, Jnanadweepa , College Campus Thane , 400601",vpmpoly@vpmthane.org,www.vpmthane.org,Ms. Sunanda Dabhade,Dr. D.K. Nayak,25364494,25339872,Un-Aided,Non-Autonomous,Non-Minority
3258,"Agnel Polytechnic (Fr. Agnel Charities) , Vashi, Navi Mumbai",Mumbai,Urban,"Sector 9A, Vashi, Navi Mumbai",423agnel@gmail.com,apv.ac.in,Swapnali P. Thottam,Mrs. Saly Antony,27771000,27660619,Un-Aided,Non-Autonomous,Religious Minority - Christian
3259,"L & T Institute of Technology, Mumbai",Mumbai,Urban,"P.O. box 8975, Saki Vihar Road, Powai, Mumbai - 400 072. Mumbai  400072",ltit@larsentoubro.com,www.ltinstitute.com,Sangeeta Vazirani,B.A. DAMAHE,67954365,,Un-Aided,Non-Autonomous,Non-Minority
3260,"Khalapur Taluka Shikshan Prasarak Mandal's,  B.L. Patil Polytechnic, Khopoli, Dist.Raigad",Mumbai,Rural,"Near Old Police Station, Khopoli,Raigad  410203",ktspkpk@rediffmail.com,www.blppolykhopoli.com,Mr.S.L.Murade,Prof. Prashant S. Mane,266157,266157,Un-Aided,Non-Autonomous,Non-Minority
3262,"Vidyavardhini's Bhausaheb Vartak Polytechnic, Vasai,Thane",Mumbai,Urban,"Vidyavardhini's  Campus , Vasai Road (W.Rly) Thane , 401202",vbvpolytechnic@rediffmail.com,www.vartakpolytechnic.org,M.B. Vartak,Mr. P. M. Patidar,2334291,2348482,Un-Aided,Non-Autonomous,Non-Minority
3263,"Smarth Samaj's S. H. Jondhale Polytechnic, Dombivli",Mumbai,Urban,"S. S. Jondhale Educational Complex,Shastri Nagar,Dombivli(W) Thane , 421202",shjptech@yahoo.co.in,www.jondhalepolytechnic.org,MR.PATARE L. E.,MR.MAGAR D. C.,2491544,2491544,Un-Aided,Non-Autonomous,Non-Minority
3264,Sahyadri Shikshan Sanstha's Sahyadri Poly.Sawarde(Ratnagiri),Mumbai,Rural," Technical Campus ,  Sawarde (Vahal Phata), Tal:Chiplun, Ratnagiri , 415606",0108principal@msbte.com,www.sahyadripoly.org,Mr. Yashawantrao N.A.,Mr.BHOSALE  M. R.,264173,264173,Un-Aided,Non-Autonomous,Non-Minority
3267,"Sai Shiva Education Trust's, Muchhala Polytechnic,Thane",Mumbai,Urban,"Sai Baba Vihar Complex, Anandnagar Thane , 400601",muchhalapolytechnic@gmail.com,www.muchhalapolytechnic.com,Mr D.D Verma,Mr. R.S.Bawaskar,25973939,25973838,Un-Aided,Non-Autonomous,Non-Minority
3268,"Samarth. Samaj's. Shivajirao S. Jondhale Polytechnic, Ambernath(E), Mumbai",Mumbai,Urban,"Navare Nagar, B Cabin Road, Ambernath(E),Thane , 421501",147.principal.poly@gmail.com,www.ssjondhlepoly.org,Mr.M.N.Pathare,Mr. Nandarge R.K.,2685004,2687385,Un-Aided,Non-Autonomous,Non-Minority
3270,"Maratha Mandir's Babasaheb Gawade Institute of Technology, Mumbai",Mumbai,Urban,"Maratha Mandir annex,Babasaheb Gawade Chowk,  Mumbai , 400008",ajit.parab@mmbgims.com,www.mmbgit.org,Yogesh Sawant,Mr.Ajit Bhikaji Parab,66044100,,Un-Aided,Non-Autonomous,Non-Minority
3272,"Ramrao Adik Education Society's Dr. D.Y.Patil Polytechnic, Nerul",Mumbai,Urban,"Dr. D.Y.Patil Vidyanagar, Sector-7, Phase-1, Nerul,New Mumbai 400706",dypatilpolytechnic@rediffmail.com,www.dypatilpolytechnic.ac.in,UDAY SHENDE,N.P. VETALE,27709592,27709592,Un-Aided,Non-Autonomous,Non-Minority
3274,"Vidyalankar Polytechnic, Mumbai",Mumbai,Urban,"Vidyalankar Educational Campus,Antop Hill, Wadala, Vidyalankar Marg, Mumbai , 400037",principal@vpt.edu.in,www.vpt.edu.in,VIJAY PATIL,Ashish Ukidve,24161126,24161126,Un-Aided,Non-Autonomous,Non-Minority
3275,"Kala Vidyamandir Institute of Technology (Polytechnic), Malad(W), Mumbai",Mumbai,Urban,"MHADA World Bank project, Plot  No. M3, RSC,Gaekwad Nagar, Malad(W),Mumbai , 400095",kvmitprinicipal@rediffmail.com,www.kvmt.co.in,P.T.NALE, S. N. GORE,28440012,28440012,Un-Aided,Non-Autonomous,Non-Minority
3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly",Mumbai,Urban,"Navghar,Bhayander(E), Thane , 401105",info@prppolytechnic.com,www.prppolytechnic.com,MR. RAJESH BHOIR,MRS. R. B. PATIL,28044871,28043288,Un-Aided,Non-Autonomous,Non-Minority
3278,"Anjuman-I-Islam's Abdul Razzak Kalsekar Polytechnic,Panvel, Navi Mumbai",Mumbai,Urban,"Plot No. 3,  Sector-16, Near Garden Hotel ,Khanda Gaon Raigad , 410206",principal.aiarkp@gmail.com,www.arkp.org,Nematullah Ataullah,Mr. Ramjan Khatik ,27454670,,Un-Aided,Non-Autonomous,Religious Minority - Muslim
3279,"Institute of Printing Technoloy and Research, Panvel",Mumbai,Rural,"Plot No. 3, Sector - 11, Balbharati Marg, Khanda Colony, New Panvel, 410206",mmpiptr@gmail.com,www.mmpiptr.com,Mr. Balasaheb Ambekar,Mr. Balasaheb Ambekar,27481677,,Un-Aided,Non-Autonomous,Non-Minority
3280,"Shivajirao S. Jondhle Polytechnic, Asangaon, Shahapur.Thane",Mumbai,Rural,"Opp. Railway Station,Asangaon, Shahapur. Thane , 421601",vjtsscoe@rediffmail.com,www.jondhlepoly.org,deepak bhide,Mrs. Geeta Khare,2481544,2482121,Un-Aided,Non-Autonomous,Non-Minority
3281,"Saraswati Education Society,Saraswati Institute of Technology, Kharghar, Navi Mumbai",Mumbai,Rural,"Plot No.-46/46A, Behind M.S.E.B.Sub Station, Near Utsav Chowk, Sector-5, Kharghar Navi Mumbai Raigad , 410210",ses.siot.os.09@gmail.com,www.siot.edu.in,Mr. Amar A. Shinde,Mr.D.R. Suroshe,27743705,27743712,Un-Aided,Non-Autonomous,Non-Minority
3282,"Saraswati Education Society, Yadavrao Tasgaonkar Polytechnic, Chandha, Nasarapur, Bhivpuri Road Railway",Mumbai,Rural,"Chandha, Nasarapur, Bhivpuri Road,Near Railway Station, Taluka Karjat Raigad , 410201",nanduyt@hotmai.com,www.tasgaonkartech.com,Mr. Janardan G. Sawant,Prof. Nilesh S. Bhelkar,320596,,Un-Aided,Non-Autonomous,Non-Minority
3283,"Mahatma Education Society's, Pillai HOC Polytechnic, Rasayani",Mumbai,Urban,"at Pillai HOCL Educational Campus, Rasayani, Tal.Khalaur, Raigad.",pillaihocpolytechnic@mes.ac.in,www.phcp.ac.in,Ms. Vrushali G. Patil,Mr.Amar V.Mange,252005,252067,Un-Aided,Non-Autonomous,Linguistic Minority - Malyalam
3284,"Prabhakar Patil Education Society's, Polytechnic,Raigad",Mumbai,Rural,"SR.No. 54a,At.Bilavale (Thakur Wadi)Post. Vavadal,Tal: Khalapur Tal.Khalapur, Dist.Raigad  410202",ppespoly@gmail.com,www.ppespoly.edu.in,Abhijit Thakur,Krishna A Joshi,271046,,Un-Aided,Non-Autonomous,Non-Minority
3285,"Dnyan Prasarak Shikshan Sanstha's, Balasaheb Mhatre Polytechnic,Ambarnath",Mumbai,Rural,"S.No. 158-1a,160-3/1a,At Kanhor,Tal Ambarnath, Dist Thane ",bmpolytechnic09@gmail.com,www.bmpolytechnic.com,Snehal N Jagtap,Nagesh Pandit Patil,2665015,,Un-Aided,Non-Autonomous,Non-Minority
3286,"Leela Education Society, G. V. Acharya Polytechnic,Shelu,  Karjat",Mumbai,Rural,"Opp.Shelu Rly.Stn. Shelu(W) Tal.Karjat, Dist. Raigad  410201",chitalemukundm@gmail.com,www.leelaeducationsociety.org,Mr. Niranjan P. Varrier,Mr. Rajendra H. Pawar,229638,,Un-Aided,Non-Autonomous,Non-Minority
3288,"Bhartiya Education/Social Charitable Trust, Sheth Shri Otarmal Sheshmal Parmar College Of Diploma, Raigad",Mumbai,Rural,"S.No.Of Land 349/350, Velshet-Nagothane,Post:Paigonda Tal:Roha, Dist:Raigad  401106",principalssosp@gmail.com,www.osparmarpolytechnic.com,Mahesh Jambekar,Ashok D. Chavan,222522,222848,Un-Aided,Non-Autonomous,Non-Minority
3306,"Kiran Patel Educatin Trust's Sardar Vallabhbhai Patel Polytechnic,Mumbai",Mumbai,Urban,"I.C. Colony , Link Road Mumbai , 400101",svpp11@rediffmail.com,svpp.com,MR. SHASHIKANT G. KHADE,MR. SUNNY SALL,28925045,28486996,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi
3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Mumbai,Rural,"Kanhor, Badlapur(w).,Tal- Ambernath. Dist. Thane ",info@bharatedu.co.in,www.bharatedu.co.in,Mr. Satish Vishe,Dr.S.A.Pattekari,2665001,,Un-Aided,Non-Autonomous,Non-Minority
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai",Mumbai,Rural,"Village At.Mamdapur, Post- Neral, Tal- Karjat,  Dist.Raigadh",sumaneducationaltrust@gmail.com,www.driems.in,Mr. Jalindar Shinde,DR K NARAYAN CHOUDHARY,651806,,Un-Aided,Non-Autonomous,Non-Minority
3420,"Rajendra Mane Polytechnic, Devrukh, Tal. Sangmeshwar, Dist. Ratnagiri",Mumbai,Rural,"Survey No. 50/19 & 48/10, Ambav, Devrukh, Tal. Sangmeshwar,Dist-Ratnagiri-415804",info@rmp.ind.in,www.rmp.ind.in,PRASHANT BHINGARDE,Prof. Nitin B. Bhopale,269477,269454,Un-Aided,Non-Autonomous,Non-Minority
3421,"VIVA College of Diploma Engg &Tech., At. Bolinj, Virar (W) Dist. Thane",Mumbai,Urban," At. Bolinj, Virar (W) Thane , 401303",contact@vivadiploma.org,www.vivadiploma.org,MR. MAHENDRA KAJARE,Prof.Surendra Devidas Ghatol,7888018019,2515275,Un-Aided,Non-Autonomous,Non-Minority
3422,"New Jai Bharat Shikshan Prasarak Mandal’s Shantiniketan Polytechnic, New Panvel",Mumbai,Rural,"Plot No. 27, Sector 2, New Panvel. Raigad ",njbspmp@gmail.com,www.shantiniketanpolytechnic.edu.in,Mrs. Bakul Namdev Dighe ,Prof. Nanasaheb Tambe,27460087,27460089,Un-Aided,Non-Autonomous,Non-Minority
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai
",Mumbai,Urban,"Survey no. 267, Near Commisioner's Bungalow,Kanakiya Park,Mira Road (E)Thane",slrtce@rahuleducation.com,www.slrtce.in,hubale santosh,Dr.S. Ram Reddy,28120144,28172573,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Mumbai,Rural,"At.Karav, Post Vangani(w), Tal. Ambernath, Dist. Thane ",jsiddhivinayakf@gmail.com,www.brharnetc.edu.in,Shailesh,Dr. Vikram A. Patil ,2910190,2910191,Un-Aided,Non-Autonomous,Non-Minority
3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Mumbai,Urban,"Plot No.2, 3 Sector - 16, Khandgaon, Thane Naka, Panvel Dist. Raigad ",aiktc.newpanvel@gmail.com,www.aiktc.org,Dr. Jamil Daud,Dr. ABDUL RAZZAK HONNUTAGI,27481247,,Un-Aided,Non-Autonomous,Religious Minority - Muslim
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Mumbai,Rural,"At Village Sukhalwad, Near Sindhudurg Railway Station, Post Oras, Tal. Malvan Dist. Sindhudurg",jbfmumbai@gmail.com,www.mitm.ac.in,Rakesh Pal,Suryakant C. Nawle,228553,228551,Un-Aided,Non-Autonomous,Non-Minority
3445,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur.",Mumbai,Rural,"At - Mohili, Post. Aghar, Taluka Shahapur, Dist. Thane",vishwatmakengg@gmail.com,www.vishwatmakengg.com,Waghmode Madan Narayan,Dr. Manojkumar Prabhakar Chavan,249001,,Un-Aided,Non-Autonomous,Non-Minority
3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Mumbai,Rural,"At Post Taluka. Tala, Dist. Raigad ",gmvedakit@gmail.com,www.gmvit.com,Prof. Satish Jadhav,Dr.Dilip N. Jaiswal ,269004,269088,Un-Aided,Non-Autonomous,Non-Minority
3448,"Gokhale Education Society, Katgara Polytechnic Institute, Bordi.",Mumbai,Rural,"At Post Bordi, Taluka Dhahanu, Dist. Thane  401701",katgarapolytechnic@gmail.com,www.katgarapolytechnic.com,Prof. Prakash K. save,Prin. Ganesh U. Mali,254040,254040,Un-Aided,Non-Autonomous,Non-Minority
3449,"S.K.Education Trust, Dr. Manoj A Shete College of Engineering & Technology, Kasara.",Mumbai,Rural,"At Post Kasara, Tal. Shahapur, Dist. Thane ",skeducationtrust@yahoo.com,www.drmscoet.com,mr.sanjay Bhalerao ,MR.RAMESH LIMBAJI SURWASE,246023,,Un-Aided,Non-Autonomous,Non-Minority
3458,"Smt. Geeta D. Tatkare Polytechnic At Gove, Kolad",Mumbai,Rural,"At Gove, Post Kolad, Taluka Roha, Dist. Raigad.",sgdtatkarepoly@gmail.com,www.sgdtatkarepoly.com,Mr.Ajit Raman Telange,VIPUL VIKAS MASAL,203020,250101,Un-Aided,Non-Autonomous,Non-Minority
3460,"Universal College of Engineering,Kaman Dist. Palghar",Mumbai,Rural,"Kaman Bhiwandi Road, S.N. 146(Part), Kaman, Vasai",moses.lopes@universal.edu.in,www.ucoe.edu.in,Mr. Moses Lopes,Dr. Jitendra B Patil ,69624580,,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi
